timestamp,src_ip,dst_ip,protocol,size,risk,status
1773415749.2702148,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.2857149,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.300274,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.3165767,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.331843,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.347441,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.364341,42.106.164.58,192.168.1.34,17,98,MEDIUM,SUSPICIOUS
1773415749.37848,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.3976836,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.4161272,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.433437,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.4497776,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.4673362,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.4826634,42.106.164.58,192.168.1.34,17,1494,MEDIUM,SUSPICIOUS
1773415749.4982817,42.106.164.58,192.168.1.34,17,1292,MEDIUM,SUSPICIOUS
1773415749.516137,42.106.164.58,192.168.1.34,17,1258,MEDIUM,SUSPICIOUS
1773415749.5333533,42.106.164.58,192.168.1.34,17,65,MEDIUM,SUSPICIOUS
1773415749.561604,42.106.164.58,192.168.1.34,17,164,MEDIUM,SUSPICIOUS
1773415749.5796432,42.106.164.58,192.168.1.34,17,1494,MEDIUM,SUSPICIOUS
1773415749.5984886,42.106.164.58,192.168.1.34,17,1494,MEDIUM,SUSPICIOUS
1773415749.6156645,42.106.164.58,192.168.1.34,17,1494,MEDIUM,SUSPICIOUS
1773415749.630381,42.106.164.58,192.168.1.34,17,1494,MEDIUM,SUSPICIOUS
1773415749.647367,42.106.164.58,192.168.1.34,17,1494,MEDIUM,SUSPICIOUS
1773415749.6638587,42.106.164.58,192.168.1.34,17,1494,MEDIUM,SUSPICIOUS
1773415749.677816,42.106.164.58,192.168.1.34,17,1398,MEDIUM,SUSPICIOUS
1773415749.69693,42.106.164.58,192.168.1.34,17,64,MEDIUM,SUSPICIOUS
1773415749.7318232,42.106.164.58,192.168.1.34,17,66,MEDIUM,SUSPICIOUS
1773415749.8249133,42.106.162.202,192.168.1.34,6,1438,MEDIUM,SUSPICIOUS
1773415749.8385088,42.106.162.202,192.168.1.34,6,1438,MEDIUM,SUSPICIOUS
1773415749.8561678,42.106.162.202,192.168.1.34,6,1438,MEDIUM,SUSPICIOUS
1773415749.8729715,42.106.162.202,192.168.1.34,6,1438,MEDIUM,SUSPICIOUS
1773415749.8905659,42.106.162.202,192.168.1.34,6,1438,MEDIUM,SUSPICIOUS
1773415749.9067686,42.106.162.202,192.168.1.34,6,672,MEDIUM,SUSPICIOUS
1773415749.9382713,4.213.25.241,192.168.1.34,6,228,HIGH,DOS ATTACK
1773415749.9674516,42.106.164.58,192.168.1.34,17,151,MEDIUM,SUSPICIOUS
